Date,Close
2020-03-19 00:00:00+05:30,8263.4501953125
2020-03-20 00:00:00+05:30,8745.4501953125
2020-03-23 00:00:00+05:30,7610.25
2020-03-24 00:00:00+05:30,7801.0498046875
2020-03-25 00:00:00+05:30,8317.849609375
2020-03-26 00:00:00+05:30,8641.4501953125
2020-03-27 00:00:00+05:30,8660.25
2020-03-30 00:00:00+05:30,8281.099609375
2020-03-31 00:00:00+05:30,8597.75
2020-04-01 00:00:00+05:30,8253.7998046875
2020-04-03 00:00:00+05:30,8083.7998046875
2020-04-07 00:00:00+05:30,8792.2001953125
2020-04-08 00:00:00+05:30,8748.75
2020-04-09 00:00:00+05:30,9111.900390625
2020-04-13 00:00:00+05:30,8993.849609375
2020-04-15 00:00:00+05:30,8925.2998046875
2020-04-16 00:00:00+05:30,8992.7998046875
2020-04-17 00:00:00+05:30,9266.75
2020-04-20 00:00:00+05:30,9261.849609375
2020-04-21 00:00:00+05:30,8981.4501953125
2020-04-22 00:00:00+05:30,9187.2998046875
2020-04-23 00:00:00+05:30,9313.900390625
2020-04-24 00:00:00+05:30,9154.400390625
2020-04-27 00:00:00+05:30,9282.2998046875
2020-04-28 00:00:00+05:30,9380.900390625
2020-04-29 00:00:00+05:30,9553.349609375
2020-04-30 00:00:00+05:30,9859.900390625
2020-05-04 00:00:00+05:30,9293.5
2020-05-05 00:00:00+05:30,9205.599609375
2020-05-06 00:00:00+05:30,9270.900390625
2020-05-07 00:00:00+05:30,9199.0498046875
2020-05-08 00:00:00+05:30,9251.5
2020-05-11 00:00:00+05:30,9239.2001953125
2020-05-12 00:00:00+05:30,9196.5498046875
2020-05-13 00:00:00+05:30,9383.5498046875
2020-05-14 00:00:00+05:30,9142.75
2020-05-15 00:00:00+05:30,9136.849609375
2020-05-18 00:00:00+05:30,8823.25
2020-05-19 00:00:00+05:30,8879.099609375
2020-05-20 00:00:00+05:30,9066.5498046875
2020-05-21 00:00:00+05:30,9106.25
2020-05-22 00:00:00+05:30,9039.25
2020-05-26 00:00:00+05:30,9029.0498046875
2020-05-27 00:00:00+05:30,9314.9501953125
2020-05-28 00:00:00+05:30,9490.099609375
2020-05-29 00:00:00+05:30,9580.2998046875
2020-06-01 00:00:00+05:30,9826.150390625
2020-06-02 00:00:00+05:30,9979.099609375
2020-06-03 00:00:00+05:30,10061.5498046875
2020-06-04 00:00:00+05:30,10029.099609375
2020-06-05 00:00:00+05:30,10142.150390625
2020-06-08 00:00:00+05:30,10167.4501953125
2020-06-09 00:00:00+05:30,10046.650390625
2020-06-10 00:00:00+05:30,10116.150390625
2020-06-11 00:00:00+05:30,9902.0
2020-06-12 00:00:00+05:30,9972.900390625
2020-06-15 00:00:00+05:30,9813.7001953125
2020-06-16 00:00:00+05:30,9914.0
2020-06-17 00:00:00+05:30,9881.150390625
2020-06-18 00:00:00+05:30,10091.650390625
2020-06-19 00:00:00+05:30,10244.400390625
2020-06-22 00:00:00+05:30,10311.2001953125
2020-06-23 00:00:00+05:30,10471.0
2020-06-24 00:00:00+05:30,10305.2998046875
2020-06-25 00:00:00+05:30,10288.900390625
2020-06-26 00:00:00+05:30,10383.0
2020-06-29 00:00:00+05:30,10312.400390625
2020-06-30 00:00:00+05:30,10302.099609375
2020-07-01 00:00:00+05:30,10430.0498046875
2020-07-02 00:00:00+05:30,10551.7001953125
