Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,Sector
2020-03-19 00:00:00-04:00,117.31652402268774,117.31652402268774,109.63389200856295,110.41606140136719,18482300,0.0,0.0,JNJ,Healthcare
2020-03-20 00:00:00-04:00,110.22487678209187,110.75501350954036,102.66391392843654,104.19348907470703,19785100,0.0,0.0,JNJ,Healthcare
2020-03-23 00:00:00-04:00,101.6818653670656,103.03762145019277,94.86831449435036,96.58908081054688,20815200,0.0,0.0,JNJ,Healthcare
2020-03-24 00:00:00-04:00,103.21143631522683,103.9849131902097,98.95296388060501,103.57644653320312,17604800,0.0,0.0,JNJ,Healthcare
2020-03-25 00:00:00-04:00,103.34180152484825,107.73063012266918,101.42113826558186,103.76764678955078,13986100,0.0,0.0,JNJ,Healthcare
2020-03-26 00:00:00-04:00,104.78445489552477,110.4595180479587,104.61932839389115,109.99890899658203,15066800,0.0,0.0,JNJ,Healthcare
2020-03-27 00:00:00-04:00,105.72306366685403,110.91144682534764,104.79315290285498,107.03536987304688,12133200,0.0,0.0,JNJ,Healthcare
2020-03-30 00:00:00-04:00,111.64146525245485,116.4474525971398,110.8071467829949,115.59574890136719,21754000,0.0,0.0,JNJ,Healthcare
2020-03-31 00:00:00-04:00,117.31653147784426,117.9422670318515,113.02329547270008,113.96189880371094,15746100,0.0,0.0,JNJ,Healthcare
2020-04-01 00:00:00-04:00,110.98097355493074,113.17973419963896,109.06900950662498,111.94564819335938,12606100,0.0,0.0,JNJ,Healthcare
2020-04-02 00:00:00-04:00,112.21504852563588,116.45614212413813,110.56381002381514,115.71742248535156,11594500,0.0,0.0,JNJ,Healthcare
2020-04-03 00:00:00-04:00,115.0482271558271,117.14268918212441,114.35296405392992,116.60386657714844,10071200,0.0,0.0,JNJ,Healthcare
2020-04-06 00:00:00-04:00,119.07204762603628,122.51359296533991,117.7945053854725,121.46200561523438,14994400,0.0,0.0,JNJ,Healthcare
2020-04-07 00:00:00-04:00,121.54890325721215,123.43479555203844,119.28930159150909,119.48049926757812,11567100,0.0,0.0,JNJ,Healthcare
2020-04-08 00:00:00-04:00,119.71515234238824,125.25985837862112,119.32407101235249,124.50375366210938,10758200,0.0,0.0,JNJ,Healthcare
2020-04-09 00:00:00-04:00,125.15559248343982,126.38099245890292,121.91394368788563,122.73956298828125,11125400,0.0,0.0,JNJ,Healthcare
2020-04-13 00:00:00-04:00,121.6705944464647,122.9655219756202,119.79338780664051,121.47071075439453,8153200,0.0,0.0,JNJ,Healthcare
2020-04-14 00:00:00-04:00,126.38096567568316,128.11911678649332,125.19033640831117,126.91110229492188,13838000,0.0,0.0,JNJ,Healthcare
2020-04-15 00:00:00-04:00,126.49394782927968,128.5449666394732,124.74709750225566,128.32769775390625,11962300,0.0,0.0,JNJ,Healthcare
2020-04-16 00:00:00-04:00,128.8926261172594,130.9523314612548,127.26745866092845,130.07456970214844,12181700,0.0,0.0,JNJ,Healthcare
2020-04-17 00:00:00-04:00,132.09081111593795,132.36022244220078,130.01372086963582,132.11688232421875,10920000,0.0,0.0,JNJ,Healthcare
2020-04-20 00:00:00-04:00,131.16959281255367,132.96858592865382,130.43957238618398,131.81271362304688,12226200,0.0,0.0,JNJ,Healthcare
2020-04-21 00:00:00-04:00,130.4656321014196,131.7866308001517,129.11857545515943,130.08323669433594,9951100,0.0,0.0,JNJ,Healthcare
2020-04-22 00:00:00-04:00,132.80345937614763,134.7067373351008,131.86485600210048,132.95989990234375,11515600,0.0,0.0,JNJ,Healthcare
