Year,GDP
2023,3567551674623.01
2022,3353470496886.33
2021,3167270623260.47
2020,2674851578587.27
2019,2835606256558.19
2018,2702929641648.74
2017,2651474262755.45
2016,2294796885663.16
2015,2103588360044.94
